rank,lemma,pos_kelly,pos_ud,english
1,være,v,VERB,be
2,og,conj,CONJ,and
3,i,prep,PREP,in
4,en,det,DET,one
5,det,det,DET,the
6,på,prep,PREP,on
7,som,conj,CONJ,as
8,ha,v,VERB,have
9,til,prep,PREP,to
10,av,prep,PREP,of
11,for,prep,PREP,for
12,med,prep,PREP,with
13,at,conj,CONJ,that
14,jeg,pron,PRON,I
15,ikke,adv,ADV,not
16,de,det,DET,the
17,den,det,DET,the
18,bli,v,VERB,be
19,du,pron,PRON,you
20,om,prep,PREP,if
21,kunne,v,VERB,be able
22,vi,pron,PRON,we
23,men,conj,CONJ,but
24,fra,prep,PREP,from
25,mye,adj,ADJ,much
26,så,adv,ADV,so
27,få,v,VERB,get
28,skulle,v,VERB,should
29,noen,det,DET,some
30,ville,v,VERB,want
31,dette,det,DET,this
32,seg,pron,PRON,
33,han,pron,PRON,he
34,god,adj,ADJ,good
35,mange,adj,ADJ,many
36,all,det,DET,all
37,andre,det,DET,"other, second"
38,eller,conj,CONJ,or
39,annen,det,DET,"other, second"
40,også,adv,ADV,also
41,se,v,VERB,see
42,si,v,VERB,say
43,komme,v,VERB,come
44,ta,v,VERB,take
45,gå,v,VERB,go
46,ut,prep,PREP,out
47,man,pron,PRON,one
48,stor,adj,ADJ,big
49,år,n,NOUN,year
50,måtte,v,VERB,must
51,sin,det,DET,his/her
52,gjøre,v,VERB,do
53,lese,v,VERB,read
54,etter,prep,PREP,after
55,da,adv,ADV,"then, since"
56,hel,adj,ADJ,whole
57,nå,adv,ADV,now
58,når,adv,ADV,when
59,ny,adj,ADJ,new
60,ved,prep,PREP,
61,dag,n,NOUN,day
62,denne,det,DET,this
63,liten,adj,ADJ,
64,her,adv,ADV,here
65,opp,prep,PREP,up
66,over,prep,PREP,over
67,hun,pron,PRON,she
68,bare,adv,ADV,only
69,gi,v,VERB,give
70,finne,v,VERB,find
71,inn,adv,ADV,in
72,to,det,DET,two
73,slik,adv,ADV,such
74,skrive,v,VERB,write
75,litt,adj,ADJ,little
76,mot,prep,PREP,against
77,enn,conj,CONJ,but
78,hva,pron,PRON,what
79,bruke,v,VERB,use
80,der,adv,ADV,
81,min,det,DET,"my, mine"
82,sak,n,NOUN,case
83,gang,n,NOUN,hall
84,legge,v,VERB,lay
85,innlegg,n,NOUN,"insertion, article"
86,tid,n,NOUN,time
87,før,prep,PREP,before
88,hvor,adv,ADV,where
89,lang,adj,ADJ,long
90,selv,det,DET,self
91,jo,interj,INTERJ,yes
92,siden,adv,ADV,since
93,del,n,NOUN,part
94,tro,v,VERB,believe
95,din,det,DET,your
96,nok,adv,ADV,enough
97,stå,v,VERB,stand
98,under,prep,PREP,under
99,vise,v,VERB,show
100,hvis,conj,CONJ,if
101,svar,n,NOUN,answer
102,disse,det,DET,these
103,vite,v,VERB,know
104,vår,det,DET,our
105,mene,v,VERB,think
106,første,adj,ADJ,first
107,sette,v,VERB,set
108,òg,adv,ADV,also
109,norsk,adj,ADJ,Norwegian
110,burde,v,VERB,should
111,ingen,det,DET,no
112,mellom,prep,PREP,between
113,både,conj,CONJ,both
114,igjen,adv,ADV,again
115,egen,det,DET,own
116,viktig,adj,ADJ,important
117,bilde,n,NOUN,picture
118,barn,n,NOUN,child
119,hver,det,DET,"each, every"
120,samme,det,DET,same
121,sist,adj,ADJ,last
122,hvordan,adv,ADV,how
123,uten,prep,PREP,without
124,holde,v,VERB,hold
125,dere,pron,PRON,you
126,land,n,NOUN,country
127,kanskje,adv,ADV,maybe
128,frem,prep,PREP,forwards
129,sende,v,VERB,send
130,vel,adv,ADV,well
131,folk,n,NOUN,people
132,veldig,adj,ADJ,huge
133,ned,prep,PREP,down
134,sammen,adv,ADV,together
135,tidlig,adj,ADJ,early
136,ligge,v,VERB,lie
137,enkel,adj,ADJ,simple
138,bra,adj,ADJ,good
139,gjennom,prep,PREP,through
140,rundt,prep,PREP,round
141,and,n,NOUN,duck
142,spille,v,VERB,play
143,høy,adj,ADJ,high
144,side,n,NOUN,"side, page"
145,gammel,adj,ADJ,old
146,tenke,v,VERB,think
147,by,n,NOUN,town
148,synes,v,VERB,think
149,film,n,NOUN,film
150,blant,prep,PREP,among
151,uke,n,NOUN,week
152,kommentar,n,NOUN,comment
153,fordi,conj,CONJ,because
154,måte,n,NOUN,way
155,sted,n,NOUN,place
156,ønske,v,VERB,wish
157,lage,v,VERB,make
158,derfor,adv,ADV,therefore
159,verden,n,NOUN,world
160,forhold,n,NOUN,"relationship, condition"
161,mann,n,NOUN,man
162,kamp,n,NOUN,fight
163,klar,adj,ADJ,clear
164,krone,n,NOUN,crown
165,mens,conj,CONJ,while
166,liv,n,NOUN,life
167,skje,v,VERB,happen
168,høre,v,VERB,hear
169,kjenne,v,VERB,know
170,mulig,adj,ADJ,possible
171,problem,n,NOUN,problem
172,grunn,n,NOUN,ground
173,menneske,n,NOUN,person
174,øke,v,VERB,increase
175,tilbake,prep,PREP,back
176,velge,v,VERB,choose
177,hans,det,DET,his
178,heller,adv,ADV,rather
179,begynne,v,VERB,begin
180,tips,n,NOUN,tip
181,ting,n,NOUN,thing
182,hos,prep,PREP,with
183,vid,adj,ADJ,wide
184,spørsmål,n,NOUN,question
185,kjøpe,v,VERB,buy
186,rett,adj,ADJ,right
187,aldri,adv,ADV,never
188,gjelde,v,VERB,concern
189,like,adv,ADV,like
190,vei,n,NOUN,road
191,tre,det,DET,three
192,skole,n,NOUN,school
193,medlem,n,NOUN,member
194,mål,n,NOUN,goal
195,bok,n,NOUN,book
196,kvinne,n,NOUN,woman
197,trenge,v,VERB,need
198,spesiell,adj,ADJ,special
199,arbeid,n,NOUN,work
200,tillegg,n,NOUN,addition
201,klare,v,VERB,manage
202,plass,n,NOUN,place
203,prosent,n,NOUN,percent
204,dersom,conj,CONJ,if
205,fin,adj,ADJ,fine
206,ofte,adj,ADJ,often
207,hvilken,det,DET,which
208,fortelle,v,VERB,tell
209,kommune,n,NOUN,municipality
210,million,n,NOUN,million
211,sterk,adj,ADJ,strong
212,hm,interj,INTERJ,hmm
213,mulighet,n,NOUN,possibility
214,venn,n,NOUN,friend
215,svær,adj,ADJ,difficult
216,nær,adj,ADJ,near
217,dårlig,adj,ADJ,bad
218,først,adv,ADV,first
219,bruk,n,NOUN,use
220,pris,n,NOUN,price
221,person,n,NOUN,person
222,eksempel,n,NOUN,example
223,kun,adv,ADV,only
224,faktisk,adj,ADJ,actually
225,stille,v,VERB,place
226,full,adj,ADJ,"full, drunk"
227,starte,v,VERB,start
228,neste,adj,ADJ,next
229,område,n,NOUN,area
230,penge,n,NOUN,money
231,lett,adj,ADJ,"light, easy"
232,time,n,NOUN,hour
233,ulik,adj,ADJ,different
234,hvorfor,adv,ADV,why
235,lissom,adv,ADV,like
236,jobb,n,NOUN,job
237,alltid,adv,ADV,always
238,topp,n,NOUN,top
239,deres,det,DET,your
240,prøve,v,VERB,try
241,sikker,adj,ADJ,"sure, safe"
242,selskap,n,NOUN,company
243,samtidig,adj,ADJ,simultaneous
244,vanskelig,adj,ADJ,difficult
245,jobbe,v,VERB,work
246,sitte,v,VERB,sit
247,snakke,v,VERB,talk
248,slå,v,VERB,hit
249,lenge,adv,ADV,long
250,be,v,VERB,ask
251,ca.,adv,ADV,approx.
252,nesten,adv,ADV,next
253,føre,v,VERB,lead
254,egentlig,adj,ADJ,actual
255,bygge,v,VERB,build
256,følge,v,VERB,follow
257,kort,adj,ADJ,short
258,bil,n,NOUN,car
259,allerede,adv,ADV,already
260,ganske,adv,ADV,quite
261,vinne,v,VERB,win
262,resultat,n,NOUN,result
263,sen,adj,ADJ,late
264,fortsatt,adv,ADV,still
265,vanlig,adj,ADJ,ordinary
266,møte,v,VERB,meet
267,gjerne,adv,ADV,gladly
268,altså,adv,ADV,you say
269,håpe,v,VERB,hope
270,tall,n,NOUN,number
271,hei,interj,INTERJ,hello
272,navn,n,NOUN,name
273,føle,v,VERB,feel
274,måned,n,NOUN,month
275,ja,interj,INTERJ,yes
276,artikkel,n,NOUN,article
277,selge,v,VERB,sell
278,student,n,NOUN,student
279,oi,interj,INTERJ,oops
280,slutt,n,NOUN,end
281,informasjon,n,NOUN,information
282,likevel,adv,ADV,anyway
283,forskjellig,adj,ADJ,different
284,lag,n,NOUN,team
285,is,n,NOUN,ice
286,sånn,det,DET,there
287,virke,v,VERB,"act, seem"
288,hvem,pron,PRON,who
289,la,v,VERB,let
290,hund,n,NOUN,dog
291,ute,adv,ADV,out
292,ung,adj,ADJ,young
293,tur,n,NOUN,trip
294,skape,v,VERB,create
295,dermed,adv,ADV,thereby
296,prosjekt,n,NOUN,project
297,kveld,n,NOUN,evening
298,løp,n,NOUN,race
299,kalle,v,VERB,call
300,lov,n,NOUN,law
301,forum,n,NOUN,forum
302,enda,adv,ADV,still
303,historie,n,NOUN,history
304,vente,v,VERB,wait
305,bety,v,VERB,mean
306,kreve,v,VERB,demand
307,fortsette,v,VERB,continue
308,akkurat,adv,ADV,accurate
309,bak,prep,PREP,back
310,kjøre,v,VERB,drive
311,utvikling,n,NOUN,development
312,jente,n,NOUN,girl
313,feil,n,NOUN,error
314,oktober,n,NOUN,October
315,fire,det,DET,four
316,eneste,det,DET,only
317,krav,n,NOUN,requirement
318,politisk,adj,ADJ,political
319,ord,n,NOUN,word
320,mai,n,NOUN,May
321,betale,v,VERB,pay
322,grad,n,NOUN,degree
323,begge,det,DET,both
324,endre,v,VERB,change
325,poste,v,VERB,post
326,friminutt,n,NOUN,break
327,innen,prep,PREP,before
328,nei,interj,INTERJ,no
329,hjelpe,v,VERB,help
330,lav,adj,ADJ,low
331,dra,v,VERB,draw
332,drive,v,VERB,drive
333,spørre,v,VERB,ask
334,gruppe,n,NOUN,group
335,leve,v,VERB,live
336,hjelp,n,NOUN,help
337,meget,adv,ADV,very
338,form,n,NOUN,shape
339,offentlig,adj,ADJ,public
340,forslag,n,NOUN,proposal
341,enkelt,adj,ADJ,single
342,særlig,adj,ADJ,special
343,virkelig,adj,ADJ,real
344,samt,conj,CONJ,and
345,imidlertid,adv,ADV,nevertheless
346,lure,v,VERB,"lurk, trick"
347,spill,n,NOUN,game
348,valg,n,NOUN,choice
349,uansett,prep,PREP,regardless
350,forstå,v,VERB,understand
351,lære,v,VERB,learn
352,september,n,NOUN,September
353,bo,v,VERB,reside
354,åpne,v,VERB,open
355,registrere,v,VERB,register
356,fall,n,NOUN,fall
357,par,n,NOUN,pair
358,vond,adj,ADJ,difficult
359,internasjonal,adj,ADJ,international
360,tema,n,NOUN,theme
361,riktig,adj,ADJ,right
362,publisere,v,VERB,publish
363,dyr,n,NOUN,animal
364,type,n,NOUN,type
365,regel,n,NOUN,rule
366,regjering,n,NOUN,government
367,program,n,NOUN,programme
368,situasjon,n,NOUN,situation
369,utvikle,v,VERB,develop
370,vann,n,NOUN,water
371,familie,n,NOUN,family
372,gutt,n,NOUN,boy
373,enig,adj,ADJ,agreed
374,musikk,n,NOUN,music
375,kontakt,n,NOUN,contact
376,samfunn,n,NOUN,society
377,hjem,n,NOUN,home
378,bidra,v,VERB,contribute
379,vurdere,v,VERB,evaluate
380,behov,n,NOUN,need
381,huske,v,VERB,remember
382,trekke,v,VERB,draw
383,oppleve,v,VERB,experience
384,plan,n,NOUN,plan
385,nevne,v,VERB,name
386,ansette,adj,ADJ,respected
387,foto,n,NOUN,photo
388,lede,v,VERB,lead
389,rekke,n,NOUN,row
390,mat,n,NOUN,mat
391,rask,adj,ADJ,"healthy, quick"
392,elev,n,NOUN,pupil
393,snar,adj,ADJ,quick
394,rette,n,NOUN,right side
395,stat,n,NOUN,state
396,slippe,v,VERB,slip
397,samle,v,VERB,collect
398,ellers,adv,ADV,otherwise
399,fungere,v,VERB,function
400,fri,adj,ADJ,free
401,bestemme,v,VERB,decide
402,poeng,n,NOUN,point
403,takk,n,NOUN,thank you
404,melde,v,VERB,report
405,erfaring,n,NOUN,experience
406,samarbeid,n,NOUN,cooperation
407,inne,adv,ADV,in
408,grei,adj,ADJ,easy
409,spise,v,VERB,eat
410,høres,v,VERB,be heard
411,flott,adj,ADJ,lovely
412,hennes,det,DET,hers
413,søke,v,VERB,search
414,positiv,adj,ADJ,positive
415,august,n,NOUN,August
416,minutt,n,NOUN,minute
417,bort,adv,ADV,"away, gone"
418,passe,v,VERB,care
419,fast,adj,ADJ,solid
420,leder,n,NOUN,leader
421,ansvar,n,NOUN,responsibility
422,økonomisk,adj,ADJ,economic
423,tv,n,NOUN,television
424,nyhet,n,NOUN,news
425,falle,v,VERB,fall
426,mening,n,NOUN,opinion
427,tilfelle,n,NOUN,instance
428,november,n,NOUN,November
429,handle,v,VERB,deal
430,hete,v,VERB,be called
431,sikre,v,VERB,ensure
432,antall,n,NOUN,number
433,utenfor,prep,PREP,outside
434,fredag,n,NOUN,Friday
435,fem,det,DET,five
436,utrolig,adj,ADJ,incredible
437,ifølge,prep,PREP,pursuant to
438,løsning,n,NOUN,solution
439,regne,v,VERB,calculate
440,nødvendig,adj,ADJ,necessary
441,lørdag,n,NOUN,Saturday
442,periode,n,NOUN,period
443,juni,n,NOUN,June
444,bu,n,NOUN,buh
445,lokal,adj,ADJ,local
446,tekst,n,NOUN,text
447,behandling,n,NOUN,treatment
448,redusere,v,VERB,reduce
449,reise,v,VERB,travel
450,benytte,v,VERB,use
451,hæ,interj,INTERJ,ha
452,marked,n,NOUN,market
453,parti,n,NOUN,party
454,hverandre,pron,PRON,each other
455,anbefale,v,VERB,recommend
