id	text	pos	source	tone	ipa	category	notes
24627	hus	NOUN	nb_uttale	1	ˈhʉːs	common	common learner word
24522	hund	NOUN	nb_uttale	1	ˈhʉn	common	common learner word
29022	katt	NOUN	nb_uttale	1	ˈkɑt	common	common learner word
4546	barn	NOUN	nb_uttale	1	ˈbɑːɳ	common	common learner word
106786	bok	NOUN	nb_uttale	1	ˈbuːk	common	common learner word
9074	dag	NOUN	nb_uttale	1	ˈdɑːg	common	common learner word
40234	natt	NOUN	nb_uttale	1	ˈnɑt	common	common learner word
66433	vann	NOUN	nb_uttale	1	ˈvɑn	common	common learner word
37333	mat	NOUN	nb_uttale	1	ˈmɑːt	common	common learner word
21740	gå	VERB	nb_uttale	1	ˈgoː	common	common learner word
69210	være	NOUN	nb_uttale	2	ˈvæːrə	common	common learner word
21803	ha	UNKNOWN	nb_uttale	1	ˈhɑː	common	common learner word
27577	jeg	NOUN	nb_uttale	1	ˈjæ͡ɪ	common	common learner word
11072	du	PRON	nb_uttale	1	ˈdʉ	common	common learner word
47043	på	ADP	nb_uttale	1	ˈpoː	common	common learner word
nb_uttale:148249	bønder	NN	nb_uttale_lexicon_only	1	ˈbœnər	tone_diagnostic	NB Uttale diagnostic tone item
nb_uttale:148315	bønner	NN	nb_uttale_lexicon_only	2	ˈbœnər	tone_diagnostic	NB Uttale diagnostic tone item
nb_uttale:8366	Bonde	PM|person|SUR	nb_uttale_lexicon_only	2	ˈbʊnə	tone_diagnostic	NB Uttale diagnostic tone item
nb_uttale:148258	bønne	NN	nb_uttale_lexicon_only	2	ˈbœnə	tone_diagnostic	NB Uttale diagnostic tone item
nb_uttale:5890	Banken	PM|person|SUR	nb_uttale_lexicon_only	1	ˈbɑŋkən	tone_diagnostic	NB Uttale diagnostic tone item
nb_uttale:102005	banken	NN	nb_uttale_lexicon_only	2	ˈbɑŋkən	tone_diagnostic	NB Uttale diagnostic tone item
nb_uttale:5738	Bakker	PM|person|SUR	nb_uttale_lexicon_only	1	ˈbɑkər	tone_diagnostic	NB Uttale diagnostic tone item
nb_uttale:99420	bakker	NN	nb_uttale_lexicon_only	2	ˈbɑkər	tone_diagnostic	NB Uttale diagnostic tone item
nb_uttale:187357	ender	NN	nb_uttale_lexicon_only	1	ˈɛnər	tone_diagnostic	NB Uttale diagnostic tone item
nb_uttale:300339	hender	NN	nb_uttale_lexicon_only	1	ˈhɛnər	tone_diagnostic	NB Uttale diagnostic tone item
nb_uttale:786187	ånder	NN	nb_uttale_lexicon_only	2	ˈɔnər	tone_diagnostic	NB Uttale diagnostic tone item
nb_uttale:74463	ander	NN	nb_uttale_lexicon_only	2	ˈɑndər	tone_diagnostic	NB Uttale diagnostic tone item
nb_uttale:86906	astma	NN	nb_uttale_lexicon_only	1	ˈɑsmɑ	tone_diagnostic	same normalized IPA=ˈɑsmɑ
nb_uttale:4806	Asma	NN	nb_uttale_lexicon_only	2	ˈɑsmɑ	tone_diagnostic	same normalized IPA=ˈɑsmɑ
nb_uttale:187642	ene	NN	nb_uttale_lexicon_only	1	ˈeːənə	tone_diagnostic	same normalized IPA=ˈeːənə
nb_uttale:12952	E-ene	NN	nb_uttale_lexicon_only	2	ˈeːənə	tone_diagnostic	same normalized IPA=ˈeːənə
nb_uttale:188250	enes	NN	nb_uttale_lexicon_only	1	ˈeːənəs	tone_diagnostic	same normalized IPA=ˈeːənəs
nb_uttale:12953	E-enes	NN	nb_uttale_lexicon_only	2	ˈeːənəs	tone_diagnostic	same normalized IPA=ˈeːənəs
nb_uttale:191812	ers	NN	nb_uttale_lexicon_only	1	ˈeːəʂ	tone_diagnostic	same normalized IPA=ˈeːəʂ
nb_uttale:12956	E-ers	NN	nb_uttale_lexicon_only	2	ˈeːəʂ	tone_diagnostic	same normalized IPA=ˈeːəʂ
nb_uttale:15163	Essen	NN	nb_uttale_lexicon_only	1	ˈɛsn̩	tone_diagnostic	same normalized IPA=ˈɛsn̩
nb_uttale:192732	essen	NN	nb_uttale_lexicon_only	2	ˈɛsn̩	tone_diagnostic	same normalized IPA=ˈɛsn̩
nb_uttale:192736	essene	NN	nb_uttale_lexicon_only	1	ˈɛsn̩ə	tone_diagnostic	same normalized IPA=ˈɛsn̩ə
nb_uttale:15166	Essene	NN	nb_uttale_lexicon_only	2	ˈɛsn̩ə	tone_diagnostic	same normalized IPA=ˈɛsn̩ə
17321	fossil	NOUN	nb_uttale	1	fɔˈsɪːl	homograph	same spelling has multiple dictionary entries
9456	defekt	NOUN	nb_uttale	1	dəˈfɛkt	homograph	same spelling has multiple dictionary entries
12701	eng	NOUN	nb_uttale	1	ˈɛŋ	homograph	same spelling has multiple dictionary entries
10154	diminuendo	NOUN	nb_uttale	1	dɪmɪnʉˈɛndʊ	homograph	same spelling has multiple dictionary entries
70081	alikvant	NOUN	nb_g2p	2	ɑlˈiːkʋˌɑnt	homograph	same spelling has multiple dictionary entries
1664	andantino	NOUN	nb_uttale	1	ɑndɑnˈtɪːnʊ	homograph	same spelling has multiple dictionary entries
97626	sukkulent	ADJ	nb_g2p	2	sˈʉkʉlˈɛnt	homograph	same spelling has multiple dictionary entries
50711	sjølkostende	NOUN	nb_uttale	2	ˈʃøːlˌkɔstn̩ə	homograph	same spelling has multiple dictionary entries
